avhengig_var,kjønn,utdanning,alder,inntekt
36,kvinne,høyere,47,272
87,mann,videregående,68,1010
80,mann,videregående,25,757
28,mann,videregående,70,345
9,mann,grunnskole,68,514
76,kvinne,videregående,25,679
88,kvinne,høyere,43,1165
34,kvinne,videregående,23,812
5,kvinne,høyere,38,818
32,mann,grunnskole,32,1184
86,mann,høyere,70,475
73,mann,grunnskole,48,731
83,kvinne,videregående,29,799
55,kvinne,grunnskole,48,556
52,kvinne,videregående,60,307
20,kvinne,videregående,62,707
36,kvinne,høyere,20,665
11,kvinne,videregående,38,318
98,kvinne,høyere,70,201
84,kvinne,videregående,21,392
66,kvinne,høyere,66,710
80,kvinne,grunnskole,31,473
70,mann,videregående,46,1101
89,kvinne,grunnskole,19,1196
80,mann,høyere,28,518
70,mann,høyere,44,295
28,mann,videregående,25,863
19,kvinne,høyere,36,721
90,kvinne,videregående,48,683
31,kvinne,høyere,27,592
24,mann,grunnskole,35,991
53,kvinne,høyere,35,1040
0,kvinne,høyere,37,1057
75,kvinne,grunnskole,46,751
61,kvinne,videregående,53,981
69,kvinne,videregående,38,1090
24,mann,høyere,42,439
99,kvinne,grunnskole,38,962
60,kvinne,videregående,60,1011
83,mann,videregående,20,329
64,kvinne,grunnskole,46,302
67,kvinne,grunnskole,64,347
52,mann,grunnskole,48,1000
33,kvinne,høyere,62,607
83,mann,videregående,61,1079
68,kvinne,videregående,58,935
97,kvinne,høyere,20,832
8,mann,høyere,61,1143
36,mann,høyere,23,644
12,mann,videregående,28,910
38,mann,grunnskole,38,1015
7,kvinne,videregående,41,641
18,mann,høyere,44,779
87,mann,grunnskole,29,280
78,kvinne,høyere,61,446
63,mann,grunnskole,47,853
32,kvinne,videregående,60,209
59,kvinne,høyere,52,361
9,kvinne,videregående,55,506
81,kvinne,høyere,34,667
38,mann,videregående,48,309
30,kvinne,høyere,40,788
37,kvinne,grunnskole,60,605
35,mann,høyere,61,996
95,mann,høyere,65,708
36,mann,høyere,69,560
28,mann,høyere,34,894
96,mann,høyere,24,1125
80,mann,videregående,68,651
4,kvinne,høyere,26,292
37,kvinne,høyere,44,379
25,mann,høyere,41,743
64,kvinne,grunnskole,34,1135
61,kvinne,høyere,39,1023
14,kvinne,grunnskole,27,972
28,kvinne,høyere,41,292
50,mann,videregående,52,326
58,kvinne,høyere,65,888
33,kvinne,høyere,41,310
86,mann,videregående,19,834
71,kvinne,høyere,32,863
8,kvinne,høyere,37,864
52,mann,grunnskole,20,1168
4,kvinne,videregående,25,299
30,mann,videregående,47,579
85,kvinne,høyere,65,944
19,kvinne,høyere,24,1053
62,kvinne,videregående,20,906
47,mann,videregående,46,1173
30,kvinne,grunnskole,61,576
69,kvinne,grunnskole,43,482
24,mann,videregående,23,878
27,mann,grunnskole,68,541
31,mann,høyere,31,270
97,mann,høyere,31,1032
29,kvinne,grunnskole,68,1122
76,mann,videregående,27,333
69,kvinne,grunnskole,25,876
3,mann,grunnskole,40,1008
100,mann,høyere,38,216
22,kvinne,grunnskole,26,959
53,mann,høyere,22,687
57,kvinne,høyere,55,311
57,mann,høyere,20,944
100,kvinne,videregående,59,1187
3,mann,videregående,43,636
87,mann,videregående,63,1131
56,mann,grunnskole,38,822
18,mann,grunnskole,35,839
81,kvinne,videregående,56,743
37,kvinne,høyere,56,640
12,mann,høyere,59,1098
98,mann,videregående,46,1109
29,kvinne,videregående,70,664
51,kvinne,høyere,24,520
54,kvinne,høyere,34,583
19,kvinne,grunnskole,23,1051
10,mann,videregående,24,962
94,kvinne,grunnskole,53,261
75,kvinne,høyere,25,620
45,kvinne,høyere,21,1191
36,kvinne,videregående,24,791
64,mann,grunnskole,60,693
28,mann,videregående,53,576
14,kvinne,høyere,32,1026
54,mann,høyere,60,1049
88,kvinne,grunnskole,29,479
89,kvinne,videregående,40,206
23,mann,høyere,60,610
8,mann,høyere,58,1195
3,mann,høyere,51,420
48,kvinne,videregående,39,361
47,kvinne,høyere,38,995
72,mann,grunnskole,27,361
96,mann,høyere,23,478
56,kvinne,videregående,56,652
53,kvinne,grunnskole,66,724
14,kvinne,videregående,25,490
86,kvinne,høyere,60,515
5,mann,videregående,56,256
0,mann,videregående,31,985
17,kvinne,videregående,38,322
0,kvinne,høyere,45,379
16,kvinne,høyere,63,435
64,kvinne,grunnskole,43,1082
94,mann,videregående,19,670
9,kvinne,høyere,45,787
51,kvinne,videregående,25,614
2,kvinne,grunnskole,69,1170
79,kvinne,høyere,41,290
55,mann,grunnskole,45,803
51,mann,videregående,37,963
43,mann,videregående,67,372
9,mann,høyere,50,398
99,kvinne,videregående,64,1181
82,mann,grunnskole,24,349
32,mann,grunnskole,56,356
97,mann,grunnskole,67,843
63,kvinne,høyere,66,793
57,kvinne,høyere,38,354
56,mann,videregående,46,846
38,kvinne,høyere,21,560
64,mann,videregående,47,662
4,mann,videregående,36,278
82,mann,høyere,56,719
49,kvinne,høyere,53,1177
94,mann,videregående,69,785
83,mann,videregående,56,687
64,mann,grunnskole,46,305
43,mann,høyere,59,376
5,mann,høyere,46,649
67,mann,videregående,41,1139
36,kvinne,videregående,67,546
86,mann,høyere,59,542
8,kvinne,grunnskole,53,894
49,kvinne,videregående,64,1072
84,mann,videregående,23,796
84,mann,videregående,37,1190
83,kvinne,grunnskole,56,925
10,kvinne,høyere,42,858
42,mann,høyere,62,1048
94,mann,høyere,60,633
65,kvinne,grunnskole,41,516
23,mann,videregående,67,697
24,mann,grunnskole,27,279
37,mann,høyere,67,752
94,mann,høyere,39,1097
98,mann,høyere,42,357
20,mann,høyere,67,839
21,kvinne,grunnskole,44,573
86,mann,videregående,57,491
96,kvinne,grunnskole,52,444
39,kvinne,grunnskole,41,894
73,kvinne,videregående,67,488
99,kvinne,høyere,51,628
20,mann,høyere,26,1093
32,mann,høyere,48,1095
47,mann,høyere,51,1071
15,kvinne,grunnskole,66,364
34,kvinne,høyere,27,1050
55,mann,grunnskole,70,661
44,mann,videregående,21,605
64,kvinne,grunnskole,42,283
47,mann,grunnskole,38,1153
12,kvinne,grunnskole,26,239
36,kvinne,høyere,26,977
90,kvinne,videregående,57,205
10,mann,videregående,31,1055
19,kvinne,grunnskole,67,495
30,kvinne,grunnskole,21,444
53,kvinne,grunnskole,25,1056
63,mann,høyere,50,788
30,mann,videregående,45,201
78,kvinne,grunnskole,54,626
23,mann,høyere,41,269
67,mann,videregående,48,244
81,kvinne,videregående,34,965
2,kvinne,grunnskole,40,446
93,mann,høyere,65,974
42,mann,grunnskole,40,759
43,mann,høyere,47,912
61,mann,grunnskole,22,933
99,kvinne,grunnskole,36,406
5,mann,grunnskole,38,1155
39,kvinne,høyere,48,459
4,mann,videregående,40,1082
99,mann,høyere,39,479
15,kvinne,videregående,43,961
56,kvinne,videregående,29,708
88,kvinne,videregående,69,731
34,mann,høyere,45,280
55,mann,høyere,36,528
13,mann,videregående,60,502
39,kvinne,høyere,63,636
21,kvinne,videregående,46,243
93,kvinne,høyere,45,481
81,mann,grunnskole,60,852
51,kvinne,høyere,69,967
86,mann,grunnskole,27,1069
77,kvinne,grunnskole,26,268
30,kvinne,videregående,42,1172
72,mann,høyere,27,895
57,kvinne,videregående,46,981
9,mann,høyere,41,607
40,kvinne,grunnskole,25,226
94,mann,videregående,51,596
71,mann,videregående,67,466
90,kvinne,grunnskole,57,492
88,kvinne,grunnskole,25,338
9,kvinne,grunnskole,63,655
11,kvinne,høyere,40,926
8,kvinne,videregående,28,928
90,mann,videregående,50,429
15,mann,grunnskole,33,1009
63,mann,videregående,53,786
47,kvinne,høyere,26,826
11,mann,videregående,43,934
92,kvinne,høyere,44,987
52,mann,grunnskole,38,857
9,kvinne,videregående,61,729
44,mann,høyere,58,801
23,mann,videregående,50,1132
7,mann,høyere,27,511
21,mann,videregående,63,430
44,kvinne,grunnskole,34,401
81,kvinne,grunnskole,58,510
78,mann,høyere,59,372
75,mann,grunnskole,60,839
92,kvinne,høyere,20,1045
3,mann,grunnskole,59,989
73,kvinne,høyere,31,985
73,kvinne,høyere,58,231
63,kvinne,høyere,37,694
31,kvinne,videregående,47,274
88,mann,grunnskole,46,625
61,kvinne,grunnskole,39,821
18,kvinne,høyere,38,951
44,kvinne,grunnskole,66,579
65,mann,videregående,33,677
15,kvinne,videregående,33,344
12,mann,videregående,42,1084
78,kvinne,grunnskole,28,1033
41,kvinne,grunnskole,66,363
63,kvinne,videregående,37,709
2,mann,videregående,50,668
30,mann,høyere,40,249
6,kvinne,videregående,56,1103
83,kvinne,videregående,52,208
13,kvinne,grunnskole,34,944
46,kvinne,videregående,20,610
6,mann,videregående,53,495
9,kvinne,høyere,46,982
70,kvinne,høyere,61,825
15,mann,grunnskole,43,582
43,kvinne,grunnskole,30,816
65,kvinne,høyere,20,246
4,mann,høyere,39,1023
60,kvinne,grunnskole,56,1114
65,mann,videregående,57,526
20,kvinne,høyere,65,1062
38,kvinne,høyere,50,745
62,kvinne,videregående,70,217
47,kvinne,høyere,25,626
74,kvinne,høyere,62,844
3,kvinne,videregående,59,1001
99,mann,høyere,21,797
61,mann,høyere,58,938
79,kvinne,grunnskole,70,897
31,mann,høyere,62,312
24,mann,videregående,38,628
19,kvinne,høyere,31,620
64,kvinne,høyere,64,263
90,mann,høyere,31,774
41,kvinne,høyere,42,521
22,kvinne,høyere,39,759
45,kvinne,høyere,48,396
31,kvinne,høyere,37,430
38,kvinne,høyere,31,906
90,kvinne,videregående,48,557
71,kvinne,videregående,25,787
86,kvinne,videregående,70,553
98,mann,videregående,20,494
91,mann,videregående,46,871
32,kvinne,grunnskole,30,1047
68,kvinne,høyere,62,478
17,mann,høyere,65,800
30,mann,grunnskole,60,1126
67,mann,høyere,32,253
12,kvinne,videregående,63,683
12,mann,grunnskole,53,1151
20,kvinne,høyere,48,688
83,mann,videregående,38,492
82,mann,grunnskole,59,787
29,mann,grunnskole,44,1103
22,mann,videregående,68,707
23,kvinne,grunnskole,18,505
72,mann,videregående,36,665
82,kvinne,grunnskole,50,679
34,mann,grunnskole,39,366
93,kvinne,høyere,34,935
23,mann,høyere,39,1009
37,mann,grunnskole,57,1076
81,kvinne,videregående,50,535
11,kvinne,høyere,24,389
17,kvinne,videregående,33,206
33,kvinne,grunnskole,46,971
34,kvinne,videregående,55,940
73,mann,videregående,59,568
88,mann,grunnskole,60,321
59,kvinne,grunnskole,43,902
64,kvinne,høyere,25,854
37,kvinne,høyere,32,424
17,kvinne,grunnskole,47,965
77,kvinne,videregående,62,762
60,mann,grunnskole,61,972
76,mann,høyere,46,740
90,kvinne,grunnskole,54,314
7,mann,høyere,52,353
21,kvinne,høyere,46,319
87,mann,høyere,55,700
11,kvinne,grunnskole,47,335
65,kvinne,videregående,54,259
71,kvinne,høyere,69,515
92,mann,videregående,34,1036
0,mann,høyere,22,246
54,kvinne,høyere,22,754
7,mann,videregående,20,493
52,mann,grunnskole,67,856
93,kvinne,videregående,42,659
48,kvinne,grunnskole,61,1187
84,mann,høyere,40,321
22,kvinne,høyere,26,945
28,mann,grunnskole,37,674
86,kvinne,høyere,42,1043
29,mann,videregående,40,358
35,mann,høyere,66,315
4,kvinne,høyere,67,1158
2,mann,grunnskole,22,303
76,mann,videregående,56,888
90,mann,grunnskole,65,245
51,kvinne,grunnskole,52,422
96,mann,grunnskole,50,496
29,kvinne,høyere,56,991
86,kvinne,grunnskole,37,1097
18,mann,videregående,37,481
7,mann,høyere,61,637
71,kvinne,grunnskole,40,1164
82,kvinne,høyere,38,913
53,kvinne,grunnskole,37,585
23,kvinne,grunnskole,32,507
90,mann,videregående,21,775
52,kvinne,høyere,51,337
49,mann,videregående,31,538
82,mann,videregående,41,294
68,mann,grunnskole,35,586
86,mann,grunnskole,30,1023
97,mann,videregående,31,1090
42,kvinne,grunnskole,31,1159
24,mann,høyere,66,690
31,mann,videregående,33,765
41,kvinne,videregående,47,746
83,kvinne,videregående,34,568
65,kvinne,videregående,24,1022
92,kvinne,videregående,31,579
40,kvinne,grunnskole,54,1084
28,mann,grunnskole,34,766
74,kvinne,videregående,27,400
42,mann,videregående,54,1053
31,kvinne,høyere,59,1166
87,kvinne,videregående,66,1041
62,kvinne,videregående,28,950
45,mann,grunnskole,64,759
62,mann,høyere,59,1180
7,mann,grunnskole,70,884
6,mann,videregående,26,1062
80,mann,grunnskole,63,354
1,mann,høyere,47,582
7,kvinne,høyere,49,216
0,kvinne,grunnskole,19,742
92,kvinne,høyere,36,217
64,kvinne,grunnskole,24,1140
12,mann,grunnskole,30,834
67,kvinne,videregående,35,1014
50,mann,videregående,43,670
72,mann,høyere,32,507
87,mann,høyere,59,977
4,mann,videregående,42,586
70,kvinne,grunnskole,58,209
89,mann,grunnskole,49,1065
55,kvinne,høyere,24,1116
67,mann,grunnskole,31,1122
88,kvinne,videregående,20,1146
9,kvinne,høyere,54,873
4,mann,videregående,19,1184
26,mann,høyere,70,607
9,kvinne,grunnskole,54,446
72,kvinne,høyere,52,539
49,mann,høyere,64,280
64,kvinne,grunnskole,24,647
29,mann,videregående,56,987
78,kvinne,videregående,19,849
34,kvinne,videregående,32,564
70,kvinne,videregående,29,896
74,kvinne,grunnskole,67,833
37,mann,høyere,22,284
34,mann,videregående,63,1002
81,mann,høyere,42,524
46,mann,grunnskole,18,1165
39,kvinne,videregående,66,476
13,mann,grunnskole,29,641
57,kvinne,grunnskole,19,291
45,mann,høyere,56,1003
41,kvinne,grunnskole,36,623
49,mann,høyere,53,1126
31,mann,høyere,42,373
17,kvinne,videregående,35,704
18,mann,grunnskole,45,482
53,kvinne,videregående,68,278
46,kvinne,grunnskole,64,840
63,mann,videregående,24,338
38,mann,videregående,39,1061
79,kvinne,videregående,46,542
55,mann,videregående,38,817
88,mann,videregående,38,381
50,kvinne,videregående,65,911
81,kvinne,høyere,68,448
41,kvinne,videregående,70,1004
50,kvinne,grunnskole,54,404
75,mann,høyere,67,763
3,kvinne,høyere,31,648
37,mann,videregående,61,711
17,kvinne,grunnskole,34,874
19,kvinne,videregående,22,659
76,kvinne,høyere,43,747
64,kvinne,høyere,20,1009
46,mann,grunnskole,67,454
84,kvinne,grunnskole,59,827
5,kvinne,videregående,68,640
13,mann,grunnskole,34,427
65,mann,videregående,41,600
59,mann,videregående,19,694
13,kvinne,videregående,23,318
93,mann,videregående,37,551
58,mann,høyere,48,556
60,mann,videregående,64,913
57,kvinne,grunnskole,37,245
90,mann,grunnskole,39,863
13,mann,høyere,33,728
22,mann,videregående,53,636
59,mann,videregående,58,388
23,kvinne,videregående,19,955
78,mann,videregående,55,639
49,mann,høyere,31,410
35,mann,høyere,24,1018
68,mann,videregående,38,401
58,mann,videregående,60,1083
62,kvinne,høyere,42,825
50,mann,videregående,40,1065
58,mann,høyere,63,1019
38,mann,høyere,26,520
15,mann,videregående,25,387
47,mann,høyere,42,628
76,mann,høyere,42,633
23,kvinne,høyere,52,910
82,mann,høyere,28,701
36,mann,grunnskole,38,1062
57,mann,videregående,18,696
17,mann,videregående,53,717
83,kvinne,videregående,61,703
53,kvinne,videregående,28,284
72,mann,grunnskole,36,233
35,mann,høyere,36,372
99,kvinne,høyere,65,991
98,kvinne,høyere,50,315
73,mann,videregående,67,756
46,mann,høyere,46,759
27,kvinne,grunnskole,65,1049
83,mann,videregående,20,660
33,kvinne,grunnskole,46,1086
15,mann,grunnskole,69,955
75,kvinne,høyere,57,847
54,mann,høyere,26,1003
26,mann,grunnskole,54,559
68,kvinne,høyere,52,372
41,kvinne,videregående,54,473
65,mann,grunnskole,66,1004
52,mann,videregående,59,329
89,mann,grunnskole,27,928
41,mann,høyere,43,701
18,kvinne,høyere,44,584
57,mann,høyere,68,1101
98,mann,videregående,50,967
35,kvinne,videregående,49,535
74,mann,høyere,23,948
58,kvinne,grunnskole,68,747
50,mann,videregående,70,416
63,kvinne,videregående,36,545
70,mann,høyere,49,1007
43,mann,grunnskole,24,841
100,kvinne,grunnskole,25,1151
20,kvinne,videregående,18,1181
54,mann,høyere,26,1103
83,kvinne,grunnskole,35,295
83,kvinne,videregående,23,580
85,mann,grunnskole,43,840
39,mann,videregående,59,293
90,mann,grunnskole,31,688
9,mann,høyere,32,731
87,kvinne,grunnskole,18,912
43,mann,videregående,62,335
61,mann,grunnskole,42,291
93,mann,grunnskole,38,576
38,mann,videregående,67,1032
96,mann,høyere,61,346
8,mann,høyere,59,368
56,kvinne,høyere,31,843
95,mann,videregående,57,903
56,mann,grunnskole,24,343
96,mann,høyere,64,593
44,kvinne,videregående,68,343
31,kvinne,høyere,23,454
70,kvinne,høyere,19,1068
84,kvinne,grunnskole,51,821
65,mann,høyere,43,502
82,mann,grunnskole,49,595
14,mann,videregående,58,808
9,mann,videregående,38,335
49,kvinne,videregående,52,899
22,kvinne,grunnskole,19,801
8,mann,videregående,31,240
7,kvinne,høyere,36,843
91,kvinne,videregående,62,611
10,mann,videregående,23,517
10,mann,grunnskole,52,534
50,mann,videregående,62,647
93,mann,grunnskole,33,288
55,mann,videregående,57,823
7,kvinne,høyere,65,873
94,mann,grunnskole,18,924
17,mann,grunnskole,49,1175
44,kvinne,grunnskole,41,329
95,kvinne,høyere,25,989
3,kvinne,videregående,35,736
8,kvinne,høyere,54,842
9,kvinne,videregående,50,568
7,kvinne,høyere,28,576
20,kvinne,grunnskole,54,890
92,mann,grunnskole,65,721
0,mann,grunnskole,33,247
60,kvinne,videregående,27,383
4,kvinne,grunnskole,38,454
53,kvinne,videregående,70,279
73,kvinne,grunnskole,50,889
6,mann,grunnskole,69,728
5,kvinne,grunnskole,47,1086
36,kvinne,videregående,23,766
58,mann,videregående,30,498
72,kvinne,høyere,57,448
59,kvinne,høyere,49,991
99,mann,høyere,52,978
31,mann,grunnskole,44,224
29,kvinne,høyere,62,1098
1,kvinne,grunnskole,66,873
48,kvinne,grunnskole,31,742
30,kvinne,videregående,21,1195
18,kvinne,grunnskole,20,1143
29,kvinne,høyere,41,669
95,mann,høyere,24,717
17,kvinne,grunnskole,55,781
7,kvinne,høyere,26,442
37,kvinne,videregående,69,602
89,kvinne,videregående,46,478
29,mann,grunnskole,26,998
98,mann,grunnskole,24,368
57,kvinne,videregående,44,323
68,kvinne,grunnskole,46,515
59,kvinne,grunnskole,23,361
87,kvinne,høyere,62,817
5,mann,videregående,27,293
91,mann,videregående,43,725
6,kvinne,videregående,70,378
3,kvinne,videregående,53,966
70,mann,grunnskole,47,304
17,mann,grunnskole,21,1050
99,mann,grunnskole,30,1043
51,kvinne,høyere,58,1160
82,mann,høyere,55,465
9,mann,grunnskole,30,1124
82,kvinne,grunnskole,23,1126
42,mann,grunnskole,47,251
21,kvinne,høyere,43,708
3,kvinne,høyere,45,376
45,mann,grunnskole,35,486
57,mann,grunnskole,57,834
78,mann,høyere,36,710
52,kvinne,grunnskole,23,486
49,mann,videregående,30,858
67,mann,høyere,69,756
2,kvinne,høyere,40,691
69,kvinne,videregående,54,714
41,kvinne,videregående,29,226
40,mann,grunnskole,69,997
35,mann,videregående,51,566
98,mann,grunnskole,24,453
84,mann,videregående,52,1035
94,mann,grunnskole,54,1066
49,kvinne,grunnskole,29,442
75,kvinne,høyere,62,567
75,mann,høyere,62,560
72,mann,høyere,30,1056
63,kvinne,grunnskole,49,238
11,mann,grunnskole,56,424
2,kvinne,grunnskole,39,1139
78,mann,grunnskole,39,934
22,kvinne,grunnskole,19,351
75,mann,grunnskole,51,1081
46,mann,videregående,63,1164
84,kvinne,høyere,24,544
38,kvinne,grunnskole,28,949
55,kvinne,høyere,38,378
90,kvinne,grunnskole,60,803
22,kvinne,videregående,64,905
37,mann,grunnskole,64,201
89,kvinne,høyere,20,386
77,kvinne,høyere,32,854
72,mann,videregående,27,539
95,mann,grunnskole,40,527
21,mann,høyere,60,854
93,kvinne,videregående,18,471
26,mann,høyere,22,558
32,mann,høyere,18,249
49,kvinne,høyere,44,1192
21,kvinne,videregående,42,559
69,kvinne,grunnskole,48,1007
73,mann,grunnskole,46,275
4,kvinne,grunnskole,38,467
13,mann,videregående,28,1109
48,mann,høyere,22,760
11,kvinne,høyere,57,1114
61,mann,videregående,59,368
77,kvinne,grunnskole,21,303
42,mann,grunnskole,44,913
70,kvinne,høyere,36,504
30,mann,grunnskole,43,785
70,kvinne,grunnskole,21,569
0,kvinne,grunnskole,36,1043
84,kvinne,grunnskole,24,226
26,mann,høyere,36,1200
10,kvinne,grunnskole,37,1003
50,kvinne,videregående,60,471
11,kvinne,grunnskole,41,1106
48,kvinne,grunnskole,46,245
33,kvinne,videregående,34,431
34,mann,grunnskole,66,913
85,mann,grunnskole,60,552
69,kvinne,høyere,32,766
7,kvinne,høyere,44,1188
68,kvinne,høyere,33,687
38,mann,videregående,63,235
64,mann,grunnskole,66,659
22,mann,grunnskole,69,397
16,mann,videregående,23,899
55,mann,høyere,27,1054
76,kvinne,videregående,64,1136
8,mann,videregående,53,606
70,kvinne,videregående,51,669
1,kvinne,grunnskole,44,353
18,mann,grunnskole,54,998
12,kvinne,høyere,40,1098
52,kvinne,videregående,59,697
73,kvinne,grunnskole,29,482
51,mann,høyere,56,897
88,kvinne,grunnskole,43,1110
42,mann,grunnskole,65,686
34,kvinne,grunnskole,39,1037
38,kvinne,videregående,49,1078
89,mann,grunnskole,26,507
95,kvinne,videregående,35,946
53,mann,grunnskole,46,416
52,kvinne,høyere,41,1040
7,mann,grunnskole,37,926
64,kvinne,grunnskole,67,1071
67,mann,grunnskole,30,1096
25,mann,grunnskole,20,667
6,kvinne,høyere,30,480
47,kvinne,høyere,43,850
15,mann,grunnskole,41,700
76,kvinne,grunnskole,48,800
70,kvinne,videregående,28,1057
33,mann,videregående,19,595
6,mann,høyere,67,1188
27,mann,høyere,32,893
26,kvinne,høyere,44,725
2,mann,videregående,26,862
22,mann,grunnskole,34,822
39,kvinne,videregående,42,1072
44,kvinne,videregående,31,677
38,kvinne,høyere,24,207
65,kvinne,høyere,59,808
77,kvinne,videregående,61,310
